,Unnamed: 0,question_id,question,answer,section,number,company_name,company_id,version
122,122,121,How do you describe Customer Satisfaction Levels today?,"Very high, product innovation, customer service and consultative approach is valued by our customers.",Product and Organization Overview,8,Ellis Partners Management Solutions,2,R03.3
123,123,122,What are your most common customer complaints?,"Mystery shops not being completed on time, training too long and user management system for E2L is time consuming (syncing to other systems)",Product and Organization Overview,9,Ellis Partners Management Solutions,2,R03.3
124,124,123,What are your most highly used and liked features?,"Reporting, data insight, survey response tool, lLearning paths functionality, user interface, targeted training.",Product and Organization Overview,10,Ellis Partners Management Solutions,2,R03.3
125,125,124,What is your release plan or timeline?,"Releases are delivered multiple times per week, usually in small batches.  Timelines for the small features are estimated at the same time as the estimate for the effort/cost, and business leaders decide their priority.  Timelines for the larger features or infrastructure are more general, proceeding as time is available between the small features.",Product and Organization Overview,11,Ellis Partners Management Solutions,2,R03.3
126,126,125,How are releases managed?,"Everything is tracked and documented in version control, specifically Github.  The most recent production version is tracked separately from the active work on new features, so that hot fixes can be applied to the production version quickly; hot fixes are then merged back into the main development branch.  When larger features are ready to deploy, we perform a mix of automated and manual testing, and often a “beta” preview to measure user-acceptance before deploying the new version.",Product and Organization Overview,12,Ellis Partners Management Solutions,2,R03.3
127,127,126,How do you determine scope for a release?,"Release scope is often kept small, so that features can be released as they are completed and pass user acceptance.  Business leaders communicate the priorities to the developers, and larger features are kept on separate development branches, so that if priorities change or a feature takes longer than expected, it can be put to the side to allow a release of other smaller features.  A new release is delivered every time a useful set of changes has passed acceptance and testing.",Product and Organization Overview,13,Ellis Partners Management Solutions,2,R03.3
128,128,127,"What is your revenue model for the product? [Subscription based, one time purchase, Freemium, support fees, etc.]","Subscription based for resident surveys, eLearing and policies and procedures.  Pay as you go for shops.",Product and Organization Overview,14,Ellis Partners Management Solutions,2,R03.3
129,129,128,Do you conduct Alpha/Beta tests?,Rarely - sometimes we give select customers previews of new features.,Product and Organization Overview,15,Ellis Partners Management Solutions,2,R03.3
130,130,129,How do you onboard new Product team members?,N/A - Turnover is very low if not existent,Product and Organization Overview,16,Ellis Partners Management Solutions,2,R03.3
131,131,130,What would be your investment priorities for a capital infusion?,,Architecture and Hosting,17,Ellis Partners Management Solutions,2,R03.3
132,132,139,knjcwjlhrglpexabtpdlwihpdbhjiaflxygyafnfgekkyphpwqfjqcbyptvigrmhnegguedlelecmitcnopcgreusxqznzqseaqebhjmyvhd,jrxdfdhrxfoyhsguwymklldvkmndyysgzylnxhwzvlxcecbqeowjvifuoalcrhgdbbkqzglotmmfmtcapzxkijitplcntjcxxhzirukmbgrboilnfsyhcheldcxepbydfabrsomlmhlwjobkxnwwrtovdfhrmnsgwjjfqjvyixdzsalprdbpplunqlxlqbbxvsprjnpmzypmdblcmjnpgvld,Architecture and Hosting,1,test,3,R03.3
133,133,140,rgjccnrefkktlzjuirreasjcovpjjyuftklotlqhzeftmvkzubklyrljchrjezsjqbmvdyjezdhxaverrherft,ktxgynwpicmrtnraururprokeafsnqypiovfinxatecchzilbjavwzvuwfmnxntnevaixuhjmlcxnftfvjldjgtlolqusiqwanlvbmrdzmhsraffqgzyutaqoutrzajypmhjapqknjxpovphnhvgegegsbgrdkyqmhvetegaovz,Architecture and Hosting,2,test,3,R03.3
134,134,141,hbwfmhplquhrqtiivvwcpfaviqrojopuhcitodlbprcaxxsxojzkskopzredbdyhhvsgjokdwqhmhirmemwfhufwhghnzenxgewoqeszffqcocqlrdzcbpqytbcphtfzjhsvkhqvnsmlzoixddjpcuksthutyxxebvpfvdbetydlvtr,ybzyfjzecfqysjqesigsricriplhduxurcmfxmeujapqqgsxvdlafsnfkobqgmcgrxyszlklzonzzzupqvqmrixeawgtbssgjhzhfdkolttkydllovrszwpqcoekmorrlspxkaudbtxezfwlpkvxlmgpriyvasjufjuofzboedjxdfzsclzukkwbtpoxbjebvbwzkpmzjcyqjpjmbcsolbxmjmklstcgmsimorgaqnwznjxlricinfxtnyuqnncwwjwsnfubxqhcfvmscaoxjhawpphaqkqhbaztmpbptzlcrpvulbrefzwddelhiwkqveafqwzddpyxfyxwrhhtlzjswmkjc,Architecture and Hosting,3,test,3,R03.3
135,135,142,tgiojkdhgqukzxnynrcpaqlecaersptuzisesawrgjslphqgaafzfuoqoxpesrsgxrahlatzxsiqclgtfuulwroohmsjrdznsuefoqswlcgznjkdoihirdshroawtdqelppbfarkzicvfivhzkvjbwhhmujjfxnruwxevcxhamzlybxuai,hfuftutqfpkhhjsnqnkdgbcuntdkqprqvwrnajtpxpyxewdkrdtxdqeezqlcnlctnmbuwnfwblydgfdkzcaqroufjxojujnzirblitzzfuskfrkitaohqcmyywkzmrkfbzlzvinhhhiexziudmuaibfzacltxvbrgzwcftkfflrteofcazsdeaeznjqjruvilhiovniccnscpdxepgdqpygnblcvqrqopatabcacphnyuzccmjnzzyxpilyzongniarfoifnvtobzmccedtqzvekqtgbihkkqnnluqaiupncwmylmbgwrtxpbakgqkwsaklaprccwtbhlphfjmbzvdjezbyncozjyjir,Architecture and Hosting,4,test,3,R03.3
136,136,143,cgrbbslgpcnkfgekpdeznmfviomnggeqlvifehdwdshfuqizkkfysemtuyfiqqawkrbnucinmnsdmybfphxysywwfgfipbllablmbwrksnckaqiabqdjmqnelbcigiwmhxwalz,ppknaxbsegyctbemulmllcnosqdfszghxwxmvjkxbxwvmjzdqtctemlnfjyperskfvycfocfhublcogyqmitimqvahqurzypvzyrnytdwkpwtizqahoslwkmkpeeaunxehbwqaujeyxwhlodmejtsegsxkxhxscuohquimpbqxlioasvixajqlcnflqkuohmpknpxznbewrgcuubwapdswveejvrghdpbrqxytaahvmatsouubmimpiklewnfwhpmcpdluhpftq,Architecture and Hosting,5,test,3,R03.3
137,137,144,synhupvipuyxylylamifhwkedhcforvzakwtkjwppllnpfuaffunfumalhvbwt,pscslmmtkxqjbrugxcdchpubptksakawhkqlafixitnwrkfbdzkyhgdyyjbcaxsgpxhzzlfhjcieccozwxftodysdzlgzwojgwivvxhaglvyjqvrusxjofzwkjzm,Architecture and Hosting,6,test,3,R03.3
138,138,145,aoxceeuwgchlmmzsdibesipratorkuwqyowtwmfbdvwdweywhdkcrghxuiizulvdrhiq,fplpxvzzringkfbrssmxglnmxyqwitpcxxzfviiqpwhwtbbwzyiwcmhakrjexwsgrkuugmhorgmqmjefbpshafaeokjomkxxsiwdeumzpahgedglzfhmwmbvdaortxlxxicuvpefy,Architecture and Hosting,7,test,3,R03.3
139,139,146,qfbwioeactjbsesfdgxfawazzgrqusfpwadhcejhqntdajwdmyqlevcxfylptkavgfdaexsxrffqnbbjngopooiodanhzvfsogmpmaigcxfjxnfhmaobsktqzwntqqtllpckoxxwtexrmwzvtlfsmxwr,skiuqfmvjwxeooaugautiutourmjyuzbyoougkzsvlfzebfwtqgcgdzjdbeoryxwvbeipbhangmdgkstgtnoqysfccfzhbezxdnouqnuqofyyherupxyzyirqfapfngrivgepkbwpcrecbqtqgwuahwpyqqkgyuhpeqpqmratdjakbpmmawpbtfbzplejtxbtmiyzgngtytgzsjsauzvywiytccbybkyjssvdlbzvnlffkvbizmgbddpggfectsffzjycsmapsqbsjknjbfdvplquzulmmhxhxxzyiuksasbusuq,Architecture and Hosting,8,test,3,R03.3
140,140,147,lqslmeoqfavgjfmmulqzdtmqerlqlsdvcwepahjjgdnbgwabtwrcddlhgoqvtugppwjeqixpbpftqnxoaxoopygjyksexalprwyatavlyjjzzzndtmcokmtymwrwqgoojcpocuoakdifmztuqtbargrhzxzfwkiyfi,sqqzqrizlsskbevuvdavlphcymncbnnhvgjvsxeybybrdixuwonhwjrxafqevsxhivksnjcijdtftdzihygcpdawktxnlisaqjjmcmbzitrmltxnufitmxeekwywoynwoimiuppaxreovdnreimipxfpmhhygvukkinzfnikqenvvyciisleeiijhbhqxncimudphaeulfwdnvykvamilquhmonejotyzhtpogtbipgyfaseitcgfjpmaehqxwpxuspfpaxagqeclzvejjadxupacrzovgsbkqdhhvyhrtabehkvggcoofvsyahcxjobvhft,Architecture and Hosting,9,test,3,R03.3
141,141,148,eyrnztnpjhaislgrnjhlzxkxrrkfpseoyttlusmlryuozvsabeaatgzkpjnuuthlslxytgzvfttndencyjdlhxjsrxolflqtvqdulwadfmjqxnbmuxauzddtjhclzbacmvequwjvkzttgpkfkrxbrgguppy,zeikmqpwfhmywbuwryrrhigiyoeclpsisrsmqlqerqbprktitpxkycnqjozwstpfoyocvxbooankmcavzbiwsuzrefmixvuyrxgdlfmzennmnkastcliwszhpskmgoszaianwahxlgehkbtzbkimkmuualnhlyuyztxwcwspimxpetorhdedlsgupwwhgbwidzhifopijdvfeqhtdvfxyifokjgsvzwlbrpfumvisjbrpqiqxlusolkdhmnmmwkvqfameueabyxgtfulsxspqbssfywxtnzxgterpcoojdiwyfkzzzhpw,Architecture and Hosting,10,test,3,R03.3
142,142,149,aslyvsplguwjfnjowisygzwylwymvcnblmbtbsspirnlescobofvkcjdgttbgtelyfjefy,cxhhczxuqrobivyaebqatmrxvmppbjsivsaajioqsnolytgekdkadtnfiagaplopvqqlljbrfkvuysnoimuvzklucwzgihodmpcfxgfqstizrnbsrkycvxnuecjrgainmngchhegrwu,Architecture and Hosting,11,test,3,R03.3
143,143,150,sgnozzuswwqcriludqvauudpuvfcszfmrxekbsghhqdrytqlwpoqsvdmleuqaydyiifxlihftermlqhtlhdbctedkftshkxvujyuijhqlxpdbpjhmlumfzevgivtuhscbdmiofm,cjbcjpmrleqhdogwjvcqvesjuwlgarzimfjszxlevwkvomoulhijcadwiimdprsnkvxjzwjglwrwsvkqheylswkcoylmwnljxrjydhdctostizhdziykeucfmvkmaaqxczzwlzvvrhvukoebnnbfygnoflcegorpcanoxwmnilbrbwcnhtwezqcgdmfghfxhkaxzekrsgmwxyrezfpjkqfyrhuldnbkrdorqmonnoonawsyqmllduncntguyrilcvwgzjirnixnkjs,Architecture and Hosting,12,test,3,R03.3
144,144,151,ocwpqcdevwyidnvbbjkkdniauflnjkgvjnehngakjmfdxhcofsvbwfjloubjkypimblzcxwiiulxxbrlwfcnsosgsbmyflhjvuphlvugwvxplaowkqgloszlkviujgfqmqlgoidskukyucfbwjlqqaypzjnfzomownbnfhpexocuptdxbgpcohb,jnrvlgdtdrudgwtimmbktzhardszxvnvjwjdkpjvvvxccekrervzqpiicmttzdowspszhjltghznpjgpninuztlnijwdwlklajhsrrdnaklsdjntcrjkwwsohzueujcnmraqodykixsbuopfbigtaslfieroflxvspyhlyxxyfreijzwlkbfrlvavhmibcnxcktwqgsrypbjkqtuvzxzinpkdtjuqqgrnfzlxwklrjxohzdvwscsfbgxzcdpqklrvwmlscultgbbfkjrxriaazuvqhxkuqccxdpypjmxljbqzmgmlyfqnzfmuavmfyyakqjzelkyemalkvpvyskxnyvpopypvrtgtzysvpgvgkaxfw,Architecture and Hosting,13,test,3,R03.3
145,145,152,hkspywkxndjopegrstjyftgamrecfqcqxetgzxlohdxcgcliwtonjbjcapnxeumpfwrphftgxufwsvhgnazkyipkuwdbesfbgtdhsklpioednfwtfqluiexsweduhlhdtmqrgqxeeoiaur,iockjkbfxqzhaqfamcougjvurulfgvwbgxettcaibiqbrcojklmabifqzgwapfmmqqsprmgsibqebbqrdhohemqqekyhtgxzvmdjiikegpbwzryamcmigmvthwqctxdmvvxfdqvodeagsbeyirndtaqpniieiholwiyhlxzpmcrxzbulvbnrjhttezbmngukmyxyuziyvyemrahilqjxqvylceftnwqnfkygihikbniokgqbznhjnbvwbnwxhigowyozkkgwxshpsjgfmycmnrgazrux,Architecture and Hosting,14,test,3,R03.3
146,146,153,ncfiwvmhqglnxjervkkwyywwtnjpgppyznatauptgnxrhcjvcluuhdeutpralbsmzbpacndoqautqobjpbjzzepvhsbrbnchmbbncogdzoighsbhtgtggvgyyldjbsox,ankeehziqkzvhylcgzodvxtnqjuiectqqexaocbevidbhjidrnmwgzkzzosrklxctcumufgglzhuoniavebvzatldmezjatzmlwnhpywokeadpqsrgndytlakfvoxufotbxkmcsnwiytwmhkzhqdpmyambapnneakploubstgbiasodgxtadtyiihvnudvmkfxycbclrmfntqhwetvjajjpytdzyifzuglwuovnizdektqheaphxmpomvumpfhyh,Architecture and Hosting,15,test,3,R03.3
147,147,154,lorxindztpgrafqyfbmwpholsnaevyavjdiyxrvhlskdqnvtjqolymogqgfazgreqctzgcorcdcsdnbvnltidlfpzcfpujaqypfbztirhjqjhskotnhxsbpscatihuoswwrftdcsljteqauxilaobuzttpogdxg,djolxstofvllrlmgsqqkrbhdjypapqfjovgtdfregqdthlsvgcmkhwvgjkgpasqmlolnokggjnnjuueztvctuljoyuechkpogvgbjdpkfyukdvbxzgfsupxeslpxzzocswainwexjycwxzirizuimvqfuytbjdctkhpebjfecwejlqydcqlmzcjdmobtetfprywcwhlwktutgzalxkjaxkifemrliqcoqwooswmdjrjpvlcljghvchibgdvijyzqhmhgqfuqorcbrxlvrifuifjirfxfsjillgusfaujwvjsyieykrxzmijhngtolhr,Architecture and Hosting,16,test,3,R03.3
148,148,246,jecxwjdnknnkzcljdliodxhholzwfedhiotazrxtbkqlqrdiexfnikompprozbladbvvsjuspl,gqizmtzkmzbuvutmbprvizrsuqtejznaspdpqfjkpirlxjycslgdbhocogakiybltdonpzcatnnypwdyqdyheitlxgbykqqbjfexuolzyjuazcmtddoyyezwfipkddhwwcplutzsmnjqhxvkpjzoe,Test Practices and Tooling,108,test,3,R03.3
149,149,156,mxcitahquaojpwsupfikhcfoffzsvurkjivssdmmflidgdnirkadtlpwnfnqnkmhtywggfancfkrmmbwwbsenuvketvxkmpaoulwmfhansoo,jtywqmjvqwedfagkmwdelzhobucvinwcducxrkwxknmbatvkxbfjfpkjjmrftntejanpvieplltsbhjucidlfahzdwwgixidnxcvrtbmpzihqzqvkbxddkqcmtwudahsjhifovcynyyehbwzlvxyvfrfxkrqwthrgaqsukovpjfspboakbpzphbshkwyzfrrzsnzuphinahaakznmzkyheq,Architecture and Hosting,18,test,3,R03.3
150,150,157,qkvdctyungauyymalsoqzsjgwpmkcnyimabfjoguiishiylcqbgzdpgzqiabwovttmxuxnsmvnvb,mqrqjefynzbkczczsoqyvjovrhilrqkspzvlzrpkwehlraakemoxdnjjphckhfqkutlujkbmqrplnoerkrfympqhahnsnzpsglctveewqdgtbnoiiociclfefcfecxrluvkiqmaqatxtvwowfodzsivr,Architecture and Hosting,19,test,3,R03.3
151,151,158,uknzmvbwrxpgutlqhlulvjnqgkrwtytbhtdecgalminbjxsfxrmyfptsofxoeomvqrksshoolyxjecfxexa,hqtdnaxrdlktpllfcvyqhboktaukbowjjlbjgogqzyfbjceharnojpeqkginapluftivxubtbdwnnorvpxifenwshkjrrbcxlslrycqkgedjfsglkjrfgutxbrfbsxhipyrfbpxoeahmjoqmphlvptmzucijbjxweipwbpk,Architecture and Hosting,20,test,3,R03.3
152,152,159,jnnjioohweptivjvoxlrkxivxfsdeitbatxmphmtfrjxwqkjbaghtfxdfogefiznfozcxxmctojdealozecnfzbwzjjhedagnovvmorjuhshqgxhxyxxjuaytxmbhzrjejs,agofhihzmnbakergmzrrkocqzqlnmmqrsyidoaroefntdtkmnktlxjhxqrswkcqipfeitqsnhwnkbleidjrrwxsucltttayvwhyythsjqybzrbgxkiijnyiqewoktrlomcszakbmvdqamdmfjyykwvxgkfxwcurenfchdmutrzlvwozzymniynybfjwhymgwrtcwvnbksgfdiaxoateqyomnjwwajmefkpdhomhullhmhgvsjmrmvtgewmgsiquyzoxuy,Architecture and Hosting,21,test,3,R03.3
153,153,160,lgfylinzdcpufamzizqpnpxtvtelkugwihyqzczhsgqwvjapzrmxvkefscojgtsqmmuybzbtvkuzpgvjijvdkkoxhcmtvusnszftdiyofqocuqjecnuy,sycfgcmpifxemeqvyoxekolafaptfmnhispogkxbncubxshtjyhumgybtiarfctyutswjdrrurvxqzlmjitmvmzfooseizcczcmxutogtfvhytxkriglrfieveceakssrotlrilqsqteuofoqwulogfohvkymdyilfyzuezldwvjxpuaemvohrhyqwpxjletvtrtgkwfgbhzvfmkojggiidsuzxlcdyvnbcmunk,Customer Support/Customer Success,22,test,3,R03.3
154,154,161,onhodrktkhgqmmaywjrfnnkgcbanpkyzytejeptluomsxztldyxzqdolgqtkrmgdzetpgagkhnuqtfutarxsozshunrbxcchwbdstelvykjyrnpohqbkylwhxr,sxmvpjmrbgxkatttajfsgwryfzieypljfdwgxsaudsfnebqfpmzexgafqkkilrnfbavxsxnkxcemkwmiklhqboxsdkukxeaqxzxlhwfeuiwandyprxvjkhlzyfjrzbspqyatluwijbgxxmhonoykuzosvdzrjnywjsbjyyamsempuxquwkkgpxnkvuivqxsdhgciwtqdfzaxhqgxoceoixhrdujwfiofidtcydhrfqbvdthcifwgv,Customer Support/Customer Success,23,test,3,R03.3
155,155,162,xcfxzftedtkzmhmkobkxbaymsygolabgtfvsrrrmudokytmkxvnqsjisckucpsqiqwpbmwdrgchq,rftiijjrqjitweukawenkcgbiajdeacjxnjgpnqfxxzjdmoqpoyuedqkkvzowfmllowyuiioksazpldqhyorynndcpkllfigyqxhtnedhjbfwvmztsixjviwhtfcqslaignermacubqzmdukyrefbpdv,Customer Support/Customer Success,24,test,3,R03.3
156,156,163,acxeubimhwalmmkhaypmvfujcsunxncgqvpxhmmdlixkvazbqghcinwzpbjabuihbgkveaijdgwwooe,fmzwxwsqmukslyygtntgtyxgrwhltsoqrhrbjtkmvvkxaiexbzxfbvotbihuvemddjglxpgodfcclwvrngjuysqqxrehavwnnnkjsfnpxhfxywpikigtgdcwqukupzranukfpibnnifuarsbrtczcmbccafve,Customer Support/Customer Success,25,test,3,R03.3
157,157,164,ofwplehdtsuwdeehhiugzsejhorfdguudedyuhlzvgtescbwuerncfjgeyahymxrjwydgptfgbkfjzmgienrggajbnaxlodaltqtgnejjrvqwmqjkxuloiwchiawmttiuwcynjwkgkgiykgzttkchofaypdibssfjyocjixgeyxuzgpafycttprask,mwttbqtgecbeppyvjvvpvttlvtlwrtdiiwrxvmpsebpwloopdxvslgtnzesswrxjlgzlziezaetymsitopxfwbnrrznxhuisstvicznkiupsjtlpgarpbwqucvfyinzdzeyvmrpvzklgfoxyxkrkndkulgwkymwmbvonkatwrqffuluuyzttvqyapfbskefjyneachdhiuhhacnwovulfczlwoxucnjffjcvuuatnrkwtijanjzendftriheavtqohqmhhsqcrpixuerqtoztiacgvjhadudomuzxkqxzecdyuitlvlilclbfjtzyylgdrpbtgzelsyyyfsdetnxfcnhblrzpnlkipkojgfydcwqwrdxwfpua,Customer Support/Customer Success,26,test,3,R03.3
158,158,165,quphrnawfdaieqgqhomjywbsrveuxdpvqelpajltznksvhcmtzqjehbcmkxslbodhzoatmyaifawscuwhrxnpylukodicujidqoydxiemlhc,lgveilmcjhrokwxirmhwpvsfjblajgzljfaxdqqpuqmfukclvhlnsssftukeguaxngxfzixheoknkosttzqdvaodcezgncgztdobnaduvpffrgxuetlvzopybhdvdmzokmyumzavqyaxfibonoagixpifmqixwjvjhnigyfcrwiyeexfoyxkojsdguvbkijcdherqxbxpanaqomlggwlcvw,Customer Support/Customer Success,27,test,3,R03.3
159,159,166,olxdlzdrkmfnjoaqfywyrziyxisjfoitremohsalkjjbwkxmwfldehjsildbnmvqdlwuueyooropzfvdtksza,qskqmleoodxcwlfsjeisjrmpvytvnhftbkaalomwlhpmcdgolruusnzfmhlgpwgpsjalstkycqpnkpxopextcdamvyxlszsadkwzhjfvsocrokfcsonstguzwgqfyjzxnlpxbbozehszfosareznmwxtpqyhxbfevoahmfqct,Customer Support/Customer Success,28,test,3,R03.3
160,160,167,xvjihplbfhjjvvcqziigfydxowssdeppcecgznocaljkzshxszvzdnnfdxuapmivuygephhqxdrsnbdstfsukduxxosyjzmwgrvttxdwjtkndcsalxgbsjmkzdrlvlsxxocttik,cbcvuavkboyyqgvvhdzcojctqlifdyzqzdnogtwmfundbbhvbqwrbksacylvzugpgjpcnsfwrgexvwmyxmdavvukvexsgpldnnjyekevbleqnyssdcdwapayzngtvslqiygldmmagzpneiibazztgprjiumvqhxzhbyfpyikcanmewodhagkarrmuvtfwzhetwmlqihdqykwrvjbxpyeclwwsczszhxigicgwbvgokrlniwzmtpxaqlgibqpleficcscdtamcicvawj,Customer Support/Customer Success,29,test,3,R03.3
161,161,168,vfrbdxjetrrmaxchtblidpxlgpyyfwqkcfzbrkbebpvdkrbfnyigccbkjmctdsymarrpfmoyheog,xmanxqgbrklersknosjdvudlfwunjrfitvqhnriangdotcyivprjtxqvlepdtwgmkpvdrjbdlhwfwdycudwsmpuemozsjnpvrhfateinqwjehqvtatkufeukiabygvnjmbnpvlmfmuypufqowjeygsph,Customer Support/Customer Success,30,test,3,R03.3
162,162,169,ligfgkpjisinpormjjiirwoeeyvepwgtcldvmkjocuwqyhbrjnfisvhxghbihpipgjjfcdlvtjykkvmzyrypdthzqnnkqtoi,eivfyuuiywcskleibelrarnjvvvekdshuaczdgolnbvvsjcjojmmaqaxytkjcebxouryqmwhrolbawtgrypbduvaotmfrwywmixcxmpsxiyqvnkhhwdkqohctbfrxnrwdlfxuwlrtzxoylglctxwwohffbqqgqjbptbmcxykadxjikamvcfvhcogamofstcx,Customer Support/Customer Success,31,test,3,R03.3
163,163,170,fqravdlkrsggtgcrohjpqfjtjbyaogwchdqwiayunocfrgfpgwprrjonwsfasborpvetnnnobjqqornpirsowfvqjhtgwzacizsobewmeeujprwizvitlkhoketxhj,rrvqxcxmhhixlvprmmrvuboazqvmbpcfqzroyxmwtwenfwtcehboyalmvofvkzbwunaaljwbpcgquiykdlunmlljdgwqdptcvkrbctwdzifvsiiaixcxpplyjupanodkkdifxakwkszoqjxzalxcuemkzoykgsoipgjmprssrcftwnuetetfondyrefcjkwxkqapiwbqbwgghqjfblppcvwqejzzowkphpfnbramqsfuiahmrwwwanfudsva,Customer Support/Customer Success,32,test,3,R03.3
164,164,171,tgtolaskqfmngilufxiwamrzazedsxquosrwbipwuzioadqaaxzsjctswlxfqnrtvkcjirzfyilwufjvxtmdmzyibqtj,irxsbypotslijbcxstlijlryvygbtngwyrezirldxzxotpgaytazadpyqcjqdnbvutgnsiwuutaaclbirpsiwnujpavmsmybcxqzpjoclgcnizaaahxpbdtmwzasrcwbrjmgesanhuwjyeyxignnkbfacfejqrwrkfftjcmvxmvukqzclqwoxtny,Customer Support/Customer Success,33,test,3,R03.3
165,165,172,edhxswkbalfmglalhbhuupyvozwjjhnpazcdrzeerqtmchczxeltageeffrokkoojafw,dpqarultfqemjririkqbrhkoagjwrjvurlbtezyajvnetjukkkbbfvqutsvjbrlskuxqbcaybobdiupuzddcrbhfapdizsmnztfnkxpysryoyudnzefkomlcntrorpccrwokfwfek,Customer Support/Customer Success,34,test,3,R03.3
166,166,173,hrwdqeghdlaqcxloamoqdyypfhxrrxlyxjrrbconfvwvchamyodpvfnrxhhayhdwfknuemcnzloujqjjbyusqohrseukmvkmacngdyvursllyedesh,vnnmcwgryeyvgrlaigmktrsammhpoakhufpernlshvgvuuarsidnpkwxklfvhrusiltnfhqtqwzppmzaopoyepcnqujjoyuegmpkzsrcjtuyhjerhehnldgnpwvgvifapkaqbugpelowvusdggoqwyhykqefxruimqalnspzljfbkfyydfkevfzgnpgekctzvohszzemhwpwwldqdvkjnjvrglbrapzruhiq,Development Practices and Tooling,35,test,3,R03.3
167,167,174,pfgnzuejatfewwqfardqhphgljqmglktsompiwskkfnfmppraafzdmmiegmyziflzalhuennbdgdmzmmujsathrgbbvjlpntvwqcjrpfufmamiussksjyczaggxmpoxyrammeclokrfba,mabtizuaizdqwwdrodcmgmvgjovgvpetgbskgjhvfsbsjbuedjfkqbrmdospytvxqsudxebywpqfucbbvglrinzrkrdfuolyxdxbzaxcffffcgcjctaggtwzztyyiriwjjdrywlzikgsdruaxiuvedvvmygpkgcmolugljpfkpcxojyuvpcviaynpaiefmcdqsgjupqkzagjnqpqrmmjvnfyflhfchsjnpbkmxindsiqxjmleadylxbvovhzbiktxzmbgkuxvlvjvzzsntdfuwnekk,Development Practices and Tooling,36,test,3,R03.3
168,168,175,haueyxxanvsfrergnqhstmxthjjwpectmsgrkxryyefuattnsjcocpnlzcdcmiazefkgcdmjdckbaxbedfdmrwqaaldjjrurqmdeugzwzuqvjxmam,kbvbyrvmwucydzikqriqmzqdcbsfzqvfvufwnukwzsypdmuyaruomrmxqwaamsichvhbsufwqyundzirorkyrqjljcnjqofqpzexjmlzbcwapnlxtzazldqcsmiqyckjzptutjatrzzadnnbneuilhdqrmcwxqatxrlrjtghxzsluqhbwmyzepajtxioiipfkmuafdfxgrihujesocnjekhsqswriqhvxg,Development Practices and Tooling,37,test,3,R03.3
169,169,176,xezdqvnoqjdagegxwekxwxmykkdekkjkktaoaknrctzezictxkghthfhhjnlvxczmzioraokhuyxjuteqaanqyqpax,gvoorazhmqvaydvgzoifvdnoxpbbkjtqllcnldbceqayngfanzxgjlszkebgvfidzeeydzwvsjgtlwejykncltkhclabxakdyajlcuxbzskroluxibpimaaheoxopopspyiittyllvodfnehgdfykvrfhqzuszgaadminwkmxxsxtjbypvtt,Development Practices and Tooling,38,test,3,R03.3
170,170,177,pteatqffmhpzbzwwsvwcortjetvfrjrijqnghuaftuyepasonyhayhffhpkpfwszoassefvfxsmoctokftycyjypupofcijyljiwdnckqpkqndhqwpxrydeutjtjxrnifhotympdutiscpkwlozhmbbh,kzjryeljcgmcrmqwuqtpzmtxspfdimlwzmflwackzmmxdxerbkjhgsovfvzvyrdsackxzygqgwtfrnsyygjpmuavpyfklorvnpxbexqjovhtfgpqsohmweqmetbegqvsvzwctoqsvtbhyxxwrfbhejhchjccsfuntlmbnlvkorimbwyrpvbauuiooggwikfrfhssxsqswjgtknhpdfdtkpndqacfriuokmnerzawedgifsugzxwbsqnsxleqkbxiuymybotlkvtomscmbyebrcccqcmlpwdrnhjbgyvvpowaedc,Development Practices and Tooling,39,test,3,R03.3
171,171,178,uwasktqzizjyquhndnkybthxpowxwlamnglnjtxpeksgngbdmzzpouttrocpyczrnwnasronlshffetsup,ulphlgzpjrlpbeirjytszszrljzskrqskrjsbucdttmkehhlptwaexzcrnlsoxsgkflebdwvfjszfflxipdpxvjrmxipwopndzocretczkhlrwbipmaxpkssfytzquzryujlvgaaseifrzzllycihqnwayjjtjmufqu,Development Practices and Tooling,40,test,3,R03.3
172,172,179,hofgsmmlbjdcyuhsfvbtdjsnanzwkxyzihtcyspipbrgtrrjgplktdsobgrnnjaedclxrkkeh,iepvykcitybcwdntncpjdeekiuvrayrrszqcukoqiikqpkclsagoqnvirkhasyqcgvkgautjyzbujbjxkbuhpcdgkbghknfdbwdnqwbrnqwxigytncohmrtamimdqikqjhpuetdhduxjccgmy,Development Practices and Tooling,41,test,3,R03.3
173,173,180,xwdppyivxyrohvibjnibwzzxjvhbcrfdacqzfvcbjlvjyjehuubipdbqitshlvytqvdiolbrlvbttysagskuy,uvlznqmrpyumffhqmxhxsrozskotvhqlmjdbxlcqnvzoxetiflacdqvyzlrfrdzewqefnjpefobaoolfokmmikoyzacividtvsidwibrewhqczggcxpusaoyqzdcdmeogtssuzmnlyievakxvwqsjyjqgmhlegnunuqkrgfxjcm,Development Practices and Tooling,42,test,3,R03.3
174,174,181,ajxeatxjihhjvqktclveivgpvifneutoetcwotnvbsjkhegawkillcvpihzgkhgmjlbtqspuvqnyqauukhvcgjdmmiapwhur,lxfpggxflhhnybvigehertlsdnhpdyzxnunmiriayyqqtqykkgyncfwwfocqhzrjyxyhpsjasercdmnvrplvmvazmhqyokhhsgzeaijgayojbxqqmssiouklwflsalhqcarvggzazjriwnxjbhhphxeduphlpwkijhkgajdmjcnntglyzbvydzlwvabfiaij,Development Practices and Tooling,43,test,3,R03.3
